"","country","year","GDP","Age_dep_ratio","high_inc","cut_variable"
"41","Cameroon",2020,1490.82964058637,81.0940919813437,0,"[0,1e+04]"
"42","China",2020,8405.18047349612,42.2072286245794,0,"[0,1e+04]"
"43","Colombia",2020,7228.43654618322,45.4421310318192,0,"[0,1e+04]"
"44","Costa Rica",2020,9619.71602657903,45.0981341606457,0,"[0,1e+04]"
"45","Cabo Verde",2020,3293.71602128856,48.9586068318821,0,"[0,1e+04]"
"46","Cyprus",2020,30438.4675161368,44.898037559046,1,"(3e+04,4e+04]"
"47","Czech Republic",2020,22843.0385885642,56.0026992709985,1,"(2e+04,3e+04]"
"48","Germany",2020,45065.0824555703,55.3833620674384,1,"(4e+04,5e+04]"
"49","Denmark",2020,63880.093657245,57.3458348612169,1,NA
"50","Dominica",2020,5741.21824339887,NA,0,"[0,1e+04]"
"51","Dominican Republic",2020,7389.69053234985,53.7681830571988,0,"[0,1e+04]"
"52","Algeria",2020,4362.73953647076,60.0677247408735,0,"[0,1e+04]"
"53","Ecuador",2020,4628.31668018853,53.8059721985514,0,"[0,1e+04]"
"54","Estonia",2020,20161.6512475064,58.4067415783824,1,"(2e+04,3e+04]"
"55","Egypt, Arab Rep.",2020,3058.31071773864,64.6163904188536,0,"[0,1e+04]"
"56","Spain",2020,29600.3523833162,52.3857787288138,1,"(2e+04,3e+04]"
"57","Ethiopia",2020,623.095140151288,76.8488271777779,0,"[0,1e+04]"
"58","European Union",2020,34768.6508402895,55.9946465077794,1,"(3e+04,4e+04]"
"59","Fragile and conflict affected situations",2020,2013.25495281732,79.3443716536196,0,"[0,1e+04]"
"60","Finland",2020,47863.7980745102,62.3893444139152,1,"(4e+04,5e+04]"
"61","Fiji",2020,3808.20365540165,53.4418305307553,0,"[0,1e+04]"
"62","France",2020,40520.6517970746,62.3564056470275,1,"(4e+04,5e+04]"
"63","Gabon",2020,8839.76017048115,68.8981501647072,0,"[0,1e+04]"
"64","United Kingdom",2020,39102.8965780963,57.0613740551911,1,"(3e+04,4e+04]"
"65","Grenada",2020,8152.70950996027,50.5331317644855,0,"[0,1e+04]"
"66","Georgia",2020,4678.66257824508,54.9756186715159,0,"[0,1e+04]"
"67","Ghana",2020,1848.25029559229,67.4242790796816,0,"[0,1e+04]"
"68","Gambia, The",2020,791.953878049397,86.8510334291043,0,"[0,1e+04]"
"69","Guinea",2020,959.978704251001,85.189563902904,0,"[0,1e+04]"
"70","Equatorial Guinea",2020,8465.97640410077,64.3672962989431,0,"[0,1e+04]"
"71","Greece",2020,21577.2079907861,56.1044189636684,1,"(2e+04,3e+04]"
"72","Guatemala",2020,3263.6692548658,62.2967491904336,0,"[0,1e+04]"
"73","Guinea-Bissau",2020,590.193738243452,81.202104082668,0,"[0,1e+04]"
